scenario,location,band_keV,published,v1.2.1_browser,v1.2.2_browser,a_rel,b_rel,total_rel,LT_factor_rel,b_minus_LT
isotropic,East 1,0.21-1,0.785130012439,0.7851299047470093,0.7877802848815918,-1.3716453206580326e-07,0.003375721799103504,0.0033755841715421564,0.003380302374978106,-4.580575874602033e-06
isotropic,East 1,1-6,0.41785697309000003,0.41785693168640137,0.41926953196525574,-9.908557552229524e-08,0.003380583572356599,0.0033804841518139117,0.003380302374978106,2.8119737849330306e-07
isotropic,East 1,6-11.5,0.1070378875103,0.10703788697719574,0.10739974677562714,-4.980519219266455e-09,0.0033806702341618866,0.003380665236805136,0.003380302374978106,3.678591837807943e-07
isotropic,East 1,7.6-7.7,0.01945475295,0.019454753026366234,0.01952052116394043,3.9253251760129615e-09,0.003380569133160538,0.0033805730717555438,0.003380302374978106,2.6675818243226956e-07
isotropic,PROSPECT_DOWN,40-200,,5.877913475036621,5.877913475036621,,0.0,,0.0,0.0
isotropic,PROSPECT_DOWN,0.2-1,,0.3172098398208618,0.3172098398208618,,0.0,,0.0,0.0
isotropic,PROSPECT_DOWN,0.21-1,,0.28258219361305237,0.28258219361305237,,0.0,,0.0,0.0
isotropic,PROSPECT_DOWN,1-6,,0.20245151221752167,0.20245151221752167,,0.0,,0.0,0.0
isotropic,PROSPECT_DOWN,6-11.5,,0.04727654904127121,0.04727654904127121,,0.0,,0.0,0.0
isotropic,PROSPECT_DOWN,7.6-7.7,,0.0020035449415445328,0.0020035449415445328,,0.0,,0.0,0.0
isotropic,NE_EAST,40-200,,6.508997917175293,6.508997917175293,,0.0,,0.0,0.0
isotropic,NE_EAST,0.2-1,,0.28926628828048706,0.28926628828048706,,0.0,,0.0,0.0
isotropic,NE_EAST,0.21-1,,0.24463719129562378,0.24463719129562378,,0.0,,0.0,0.0
isotropic,NE_EAST,1-6,,0.2113971710205078,0.2113971710205078,,0.0,,0.0,0.0
isotropic,NE_EAST,6-11.5,,0.04245411232113838,0.04245411232113838,,0.0,,0.0,0.0
isotropic,NE_EAST,7.6-7.7,,0.0026153402868658304,0.0026153402868658304,,0.0,,0.0,0.0
front,MIF on,40-200,0.28380716643899695,0.5334879755973816,0.5451619625091553,0.8797551249011619,0.021882380570436677,0.9208886419234779,0.02199907578778859,-0.00011669521735191424
front,MIF on,0.2-1,0.006347187208437801,0.01582350768148899,0.016232918947935104,1.492995268904877,0.02587360999135857,1.557498056202824,0.02199907578778859,0.0038745342035699792
front,MIF on,0.21-1,0.0061919229774378,0.015774032101035118,0.016183428466320038,1.5475174931136446,0.025953818444306,1.6136352996136099,0.02199907578778859,0.003954742656517407
front,MIF on,1-6,0.56573856488799,0.5638287663459778,0.5762109756469727,-0.0033757616336272944,0.02196093927814413,0.018511042748263096,0.02199907578778859,-3.813650964445969e-05
front,MIF on,6-11.5,0.48706106618199996,0.48664259910583496,0.4973662197589874,-0.0008591675771690843,0.022035926720875176,0.021157826589934814,0.02199907578778859,3.685093308658516e-05
front,MIF on,7.6-7.7,0.028138150799999997,0.02622195892035961,0.026884205639362335,-0.06809942463029184,0.0252554250814776,-0.04456387946565632,0.02199907578778859,0.0032563492936890093
front,MIF off,40-200,2.5999027317652006,2.5975918769836426,2.6060922145843506,-0.0008888235522522825,0.003272391508468475,0.0023806593775712592,0.003291641303670545,-1.924979520206982e-05
front,MIF off,0.2-1,0.140703985637,0.13821282982826233,0.13866779208183289,-0.01770494131676248,0.003291751237102014,-0.0144714703421428,0.003291641303670545,1.099334314691447e-07
front,MIF off,0.21-1,0.14069423861400002,0.13819192349910736,0.13864684104919434,-0.01778548389431822,0.003291925740435353,-0.014552106646120722,0.003291641303670545,2.8443676480804925e-07
front,MIF off,1-6,0.11593127324911999,0.11548423767089844,0.11586436629295349,-0.0038560395801133796,0.003291606107652001,-0.0005771260358947705,0.003291641303670545,-3.5196018544070284e-08
front,MIF off,6-11.5,0.000228149879703,0.00022679449466522783,0.00022754102246835828,-0.005940765954102534,0.003291648698229732,-0.002668672170392239,0.003291641303670545,7.3945591871904526e-09
front,MIF off,7.6-7.7,4.88110983e-06,4.789476406585891e-06,4.805241587746423e-06,-0.01877307141316864,0.0032916293603313385,-0.015543236045884479,0.003291641303670545,-1.1943339206510473e-08
front,Shield Center,40-200,0.1162670119503,0.09946540743112564,0.09966392815113068,-0.14450878402514067,0.001995877010230851,-0.14280132877472196,0.001996342769009285,-4.6575877843402225e-07
front,Shield Center,0.2-1,0.038080110602400005,0.03854354843497276,0.038620494306087494,0.012170075801816393,0.0019963359430839045,0.014190707304653438,0.001996342769009285,-6.825925380482545e-09
front,Shield Center,0.21-1,0.0361505746324,0.03654196113348007,0.03661490976810455,0.010826563756175966,0.0019962977454333064,0.012844474546426454,0.001996342769009285,-4.5023575978575536e-08
front,Shield Center,1-6,0.034662543864,0.03466849774122238,0.03473770618438721,0.00017176688605835544,0.0019962919559255443,0.0021684017388368115,0.001996342769009285,-5.0813083740663956e-08
front,Shield Center,6-11.5,0.00725038837603,0.007255937438458204,0.007270422764122486,0.0007653469221799991,0.0019963410361707457,0.00276321585181849,0.001996342769009285,-1.7328385393255985e-09
front,Shield Center,7.6-7.7,0.000530981965,0.0005421038949862123,0.0005431860918179154,0.020945965624674878,0.0019962904559664985,0.022984070311908855,0.001996342769009285,-5.23130427865226e-08
front,HB4,40-200,0.3944477652354,0.39444783329963684,0.3999512791633606,1.7255576745256462e-07,0.013952278093877002,0.013952453057190395,0.014011229152743443,-5.895105886644103e-05
front,HB4,0.2-1,0.26098906917998094,0.26098906993865967,0.26463019847869873,2.906936913404934e-09,0.01395126830749982,0.01395127125499207,0.014011229152743443,-5.9960845243622884e-05
front,HB4,0.21-1,0.2542949254799809,0.2542949318885803,0.25783947110176086,2.5201444486810942e-08,0.013938693889241849,0.013938719441961567,0.014011229152743443,-7.253526350159412e-05
front,HB4,1-6,0.452667157982,0.45266711711883545,0.4589928686618805,-9.027198866196073e-08,0.013974400401132625,0.013974308867647167,0.014011229152743443,-3.682875161081789e-05
front,HB4,6-11.5,0.16770569854764,0.1677057147026062,0.1700720638036728,9.6329262122552e-08,0.014110128001677547,0.014110225690157963,0.014011229152743443,9.889884893410361e-05
