file_id,file_name,run_id,run_name,coordinate_id,detector_face_x_in,detector_face_z_in,live_time_s,counts_50_11400_keV,statistical_error_counts,rate_50_11400_counts_per_s,routine_point,calibration_A0_keV,calibration_A1_keV_per_channel,representative_point
1478,HB3_DOWN_5,71,position_scan_8_HB3_DOWN_5,71,101.0,138.7,355.24,24227.0,155.6502489557919,68.19896408062155,True,-0.2889562578243986,0.6994008394878689,False
1481,PROSPECT_DOWN_16,161,position_scan_6_PROSPECT_DOWN_16,161,118.5,159.7,173.91,11480.0,107.144761887831,66.01115519521592,True,-0.2889562578243986,0.6994008394878689,False
1488,HB4_DOWN_34,94,position_scan_5_HB4_DOWN_34,94,52.0,302.7,1918.91,553727.0,744.1283491441513,288.56329895617824,False,0.0,0.699042,False
1496,HB3_DOWN_15,81,position_scan_8_HB3_DOWN_15,81,86.45002367522194,84.7915707487047,352.88,42076.0,205.1243525279239,119.23600090682385,True,-0.2889562578243986,0.6994008394878689,False
1519,PROSPECT_DOWN_9,157,position_scan_6_PROSPECT_DOWN_9,157,98.5,181.2,173.91,12917.0,113.65298060323803,74.27404979587143,True,-0.2889562578243986,0.6994008394878689,False
1544,HB4_DOWN_23,3,position_scan_4_HB4_DOWN_23,3,62.0,314.2,210.07,86447.0,294.01870688784413,411.51520921597563,True,-0.023417101841509663,0.6994146895139429,False
1550,HB3_DOWN_8,74,position_scan_8_HB3_DOWN_8,74,66.0,112.7,237.1,48510.0,220.24985811573183,204.5972163644032,True,-0.2889562578243986,0.6994008394878689,False
1559,PROSPECT_DOWN_19,35,position_scan_7_PROSPECT_DOWN_19,35,38.3,133.0,173.91,47044.0,216.8962885805103,270.507733885343,True,-0.2889562578243986,0.6994008394878689,False
1573,PROSPECT_DOWN_31,47,position_scan_7_PROSPECT_DOWN_31,47,38.3,199.5,229.58,7055.0,83.99404740813482,30.730028748148793,True,-0.2889562578243986,0.6994008394878689,False
1587,HB4_DOWN_9,109,position_scan_3_HB4_DOWN_9,109,101.5,284.2,177.56,86077.0,293.3888205095757,484.7769767965758,True,-0.023417101841509663,0.6994146895139429,False
1604,HB4_DOWN_19,119,position_scan_3_HB4_DOWN_19,119,120.0,250.2,168.95,59036.0,242.97324955640693,349.4288250961823,True,-0.023417101841509663,0.6994146895139429,False
1619,HB4_DOWN_61,142,position_scan_6_HB4_DOWN_61,142,110.0,403.7,382.54,79126.0,281.29344108954973,206.84372876039106,True,-0.2889562578243986,0.6994008394878689,False
1623,PROSPECT_DOWN_29,45,position_scan_7_PROSPECT_DOWN_29,45,38.3,205.0,253.99,8434.0,91.83681179135085,33.20603173353282,True,-0.2889562578243986,0.6994008394878689,False
1631,HB4_DOWN_33,93,position_scan_5_HB4_DOWN_33,93,39.0,302.7,128.75,19046.0,138.00724618656804,147.93009708737864,True,0.0,0.699042,False
1634,PROSPECT_DOWN_12,156,position_scan_6_PROSPECT_DOWN_12,156,169.5,181.2,173.91,17171.0,131.0381623802776,98.73497786211259,True,-0.2889562578243986,0.6994008394878689,False
1642,PROSPECT_DOWN_5,150,position_scan_6_PROSPECT_DOWN_5,150,135.5,217.2,174.74,31355.0,177.07343109568978,179.438022204418,True,-0.2889562578243986,0.6994008394878689,False
1674,HB3_DOWN_24,90,position_scan_8_HB3_DOWN_24,90,159.0,50.7,228.26,24401.0,156.20819440733575,106.90002628581442,True,-0.2889562578243986,0.6994008394878689,False
1686,HB4_DOWN_38,98,position_scan_5_HB4_DOWN_38,98,38.0,302.7,231.49,30614.0,174.96856860590705,132.247613287831,True,0.0,0.699042,False
1728,HB4_DOWN_24,4,position_scan_4_HB4_DOWN_24,4,75.5,314.2,216.77,106807.0,326.8134024179547,492.72039488859156,True,-0.023417101841509663,0.6994146895139429,False
1729,HB4_DOWN_2,102,position_scan_3_HB4_DOWN_2,102,50.5,284.2,216.25,38393.0,195.94131774590065,177.53988439306357,True,-0.023417101841509663,0.6994146895139429,True
1757,HB4_DOWN_50,131,position_scan_6_HB4_DOWN_50,131,49.0,374.7,158.03,40558.0,201.3901685783097,256.64747199898756,True,-0.2889562578243986,0.6994008394878689,False
1777,PROSPECT_DOWN_7,152,position_scan_6_PROSPECT_DOWN_7,152,40.0,181.2,158.61,5876.0,76.6550715869472,37.046844461257166,True,-0.2889562578243986,0.6994008394878689,False
1790,HB4_DOWN_28,8,position_scan_4_HB4_DOWN_28,8,117.0,314.2,353.05,198452.0,445.47951692530154,562.107350233678,True,-0.023417101841509663,0.6994146895139429,False
1802,HB4_DOWN_5,105,position_scan_3_HB4_DOWN_5,105,74.0,284.2,197.06,76070.0,275.8079041651997,386.02456104739673,True,-0.023417101841509663,0.6994146895139429,False
